epoch,train_loss,valid_loss,time
0,3.702418088912964,2.9684841632843018,00:01
1,4.030988693237305,4.294834613800049,00:01
2,3.7383620738983154,2.963031768798828,00:01
3,3.4929966926574707,2.355379581451416,00:01
4,3.208956480026245,1.7560666799545288,00:01
5,3.085808753967285,1.7732858657836914,00:01
6,2.852755069732666,1.7787456512451172,00:01
7,2.59708571434021,1.2133663892745972,00:01
8,2.3269317150115967,1.0777426958084106,00:01
9,2.1070282459259033,1.0791434049606323,00:01
10,1.9327418804168701,1.0532227754592896,00:01
11,1.780941128730774,1.043124794960022,00:01
