epoch,train_loss,valid_loss,time
0,3.743302822113037,3.4423015117645264,00:02
1,3.29927659034729,3.148813009262085,00:00
2,3.0693557262420654,2.56314754486084,00:00
3,2.7717244625091553,1.8359683752059937,00:00
4,2.5220000743865967,1.7181411981582642,00:00
5,2.2597763538360596,1.2747136354446411,00:00
6,2.1493279933929443,1.7271887063980103,00:00
7,2.067736864089966,1.6262468099594116,00:00
8,1.9549859762191772,1.554552674293518,00:00
9,1.783042073249817,1.2261481285095215,00:00
10,1.6403923034667969,1.6475600004196167,00:00
11,1.5089706182479858,1.0911451578140259,00:00
12,1.3490573167800903,0.9376376271247864,00:00
13,1.2021634578704834,1.0487314462661743,00:00
14,1.0615925788879395,0.8571875691413879,00:00
15,0.9892013072967529,1.2367223501205444,00:00
16,0.9751253724098206,1.0651307106018066,00:00
17,0.9053170084953308,0.7281036972999573,00:00
18,0.8530067205429077,0.9325441718101501,00:00
19,0.7899806499481201,1.2603989839553833,00:00
20,0.7696943879127502,1.5259872674942017,00:00
21,0.7535886168479919,0.8851339817047119,00:00
22,0.708214282989502,0.8992206454277039,00:00
23,0.6850298643112183,1.2066854238510132,00:00
24,0.7118237018585205,1.3536335229873657,00:00
25,0.9310286045074463,1.433733582496643,00:00
26,1.0054364204406738,1.751715064048767,00:00
27,0.9277303814888,0.8801406025886536,00:00
28,0.8503004908561707,0.9788756370544434,00:00
29,0.863459050655365,0.9817841649055481,00:00
30,0.9765775799751282,0.8420305252075195,00:00
31,0.9369654655456543,0.9079949855804443,00:00
32,0.9109141826629639,0.9256523251533508,00:00
33,0.8551791310310364,1.092159628868103,00:00
34,0.7784104943275452,0.648975133895874,00:00
35,0.7048497200012207,0.8245752453804016,00:00
36,0.6261691451072693,0.7633774876594543,00:00
37,0.5737084746360779,1.066767692565918,00:00
38,0.5571146607398987,0.7984231114387512,00:00
39,0.4964427947998047,0.6974533200263977,00:00
40,0.4384273886680603,0.752525806427002,00:00
41,0.38712969422340393,0.7677037119865417,00:00
42,0.3481650948524475,0.9625406265258789,00:00
43,0.3166871964931488,0.7348706126213074,00:00
44,0.28733476996421814,0.6767556071281433,00:00
45,0.25839924812316895,0.7007131576538086,00:00
46,0.2375379204750061,0.7144393920898438,00:00
47,0.21753175556659698,0.7943982481956482,00:00
48,0.20023728907108307,0.7456629872322083,00:00
49,0.18513964116573334,0.7500643730163574,00:00
50,0.1731249988079071,0.7524688839912415,00:00
51,0.162993922829628,0.7973253130912781,00:00
52,0.15505166351795197,0.7595605850219727,00:00
53,0.1539304256439209,0.99428391456604,00:00
54,0.1522735059261322,0.7650201916694641,00:00
55,0.14743119478225708,0.7903103232383728,00:00
56,0.14043721556663513,0.8519787192344666,00:00
57,0.13893215358257294,1.2084671258926392,00:00
58,0.14328034222126007,1.1298519372940063,00:00
59,0.14134475588798523,0.8669276237487793,00:00
60,0.13668839633464813,0.876231849193573,00:00
61,0.14028553664684296,0.8823668956756592,00:00
62,0.13358677923679352,0.9244704246520996,00:00
63,0.12807415425777435,0.8860971927642822,00:00
64,0.1384778618812561,0.7200739979743958,00:00
65,0.1351073682308197,0.5771667957305908,00:00
66,0.16800475120544434,1.229814887046814,00:00
67,0.19362248480319977,0.7332943081855774,00:00
68,0.2265719473361969,1.0077327489852905,00:00
69,0.247308611869812,0.5568656325340271,00:00
70,0.23477286100387573,0.635520875453949,00:00
71,0.215718612074852,1.0182089805603027,00:00
72,0.21407479047775269,0.7951744198799133,00:00
73,0.21844148635864258,0.7452292442321777,00:00
74,0.1985747218132019,0.8990405201911926,00:00
75,0.17939972877502441,0.7633615136146545,00:00
76,0.15830357372760773,0.731501579284668,00:00
77,0.14051884412765503,0.6972412467002869,00:00
78,0.12477270513772964,0.69134122133255,00:00
79,0.11166144162416458,0.6647963523864746,00:00
80,0.10138820856809616,0.7045311331748962,00:00
81,0.09261482954025269,0.6468823552131653,00:00
82,0.08515891432762146,0.6552891135215759,00:00
83,0.07878538966178894,0.6700060367584229,00:00
84,0.07391856610774994,0.6770911812782288,00:00
85,0.06928658485412598,0.6475120186805725,00:00
86,0.06616635620594025,0.6382729411125183,00:00
87,0.06346621364355087,0.6837512850761414,00:00
88,0.06099935621023178,0.6737804412841797,00:00
89,0.05895347520709038,0.714928388595581,00:00
90,0.05638112500309944,0.7009487152099609,00:00
91,0.05469309166073799,0.6921868324279785,00:00
92,0.05254756286740303,0.69034743309021,00:00
93,0.05122407153248787,0.6702909469604492,00:00
94,0.04975045099854469,0.6706111431121826,00:00
