epoch,train_loss,valid_loss,time
0,4.668807029724121,3.9388954639434814,00:01
1,4.2684645652771,3.598590135574341,00:00
2,4.014273166656494,3.2962357997894287,00:00
3,3.793092966079712,2.7842845916748047,00:00
4,3.583989381790161,2.308238983154297,00:00
5,3.3406622409820557,2.448197364807129,00:00
6,3.1517488956451416,2.006316661834717,00:00
7,2.9489521980285645,1.6623398065567017,00:00
8,2.744128942489624,1.8541388511657715,00:00
9,2.590651750564575,1.276047945022583,00:00
10,2.4380524158477783,1.2692867517471313,00:00
11,2.2687175273895264,1.4553474187850952,00:00
12,2.121094226837158,1.158426284790039,00:00
13,1.9894038438796997,1.013645887374878,00:00
14,1.8980170488357544,1.4502946138381958,00:00
15,1.7920331954956055,1.3296517133712769,00:00
16,1.6913609504699707,0.9971488118171692,00:00
17,1.5931968688964844,0.9534456133842468,00:00
18,1.5068081617355347,0.9089575409889221,00:00
19,1.4159343242645264,0.8688802719116211,00:00
20,1.337162971496582,0.9545820355415344,00:00
21,1.2663508653640747,0.8504180312156677,00:00
22,1.1967995166778564,1.1220178604125977,00:00
23,1.1309958696365356,0.8683739304542542,00:00
24,1.0706219673156738,0.8274335265159607,00:00
25,1.012302041053772,1.1306753158569336,00:00
26,0.9652642607688904,0.9578697085380554,00:00
27,0.9191151261329651,1.0295685529708862,00:00
28,0.8721745610237122,0.863979160785675,00:00
29,0.8257028460502625,0.9087944626808167,00:00
30,0.7816312909126282,0.8648388981819153,00:00
31,0.7399538159370422,0.9553030133247375,00:00
32,0.7003028392791748,0.9026909470558167,00:00
33,0.6627647876739502,0.9562682509422302,00:00
34,0.6275952458381653,0.9588696956634521,00:00
35,0.5945677161216736,0.9550163745880127,00:00
36,0.5633978247642517,0.9848179817199707,00:00
37,0.5347103476524353,0.9769806265830994,00:00
38,0.5073912143707275,0.9908559322357178,00:00
39,0.4817374348640442,0.9603603482246399,00:00
40,0.45756348967552185,0.9933496117591858,00:00
41,0.43492117524147034,1.0361955165863037,00:00
42,0.41379931569099426,0.9472637176513672,00:00
43,0.39433690905570984,1.0579890012741089,00:00
44,0.3764689266681671,0.9376807808876038,00:00
45,0.3586747646331787,0.9220017790794373,00:00
46,0.3421595096588135,0.9696841239929199,00:00
47,0.327136754989624,0.9167284965515137,00:00
48,0.312459260225296,0.9662075042724609,00:00
49,0.29841527342796326,0.9380524754524231,00:00
50,0.2850182056427002,0.9852032661437988,00:00
51,0.2724874019622803,0.9543316960334778,00:00
52,0.2605813145637512,0.942177951335907,00:00
53,0.2493066042661667,0.9265322089195251,00:00
54,0.23837362229824066,0.9556577801704407,00:00
55,0.22808513045310974,0.9305667877197266,00:00
56,0.21834826469421387,0.9460229277610779,00:00
57,0.20897315442562103,0.9572415947914124,00:00
58,0.2001335322856903,0.9287156462669373,00:00
59,0.19184811413288116,0.9459097981452942,00:00
60,0.18394891917705536,0.9178652763366699,00:00
61,0.17645473778247833,0.9503614902496338,00:00
62,0.16948308050632477,0.9073719382286072,00:00
63,0.16271023452281952,0.9419646859169006,00:00
64,0.15627263486385345,0.9248936772346497,00:00
65,0.15050719678401947,0.9407045841217041,00:00
66,0.14492186903953552,0.9155903458595276,00:00
67,0.13962191343307495,0.92708420753479,00:00
68,0.13464005291461945,0.9204890131950378,00:00
69,0.130173459649086,0.9134919047355652,00:00
70,0.12575256824493408,0.9367859959602356,00:00
71,0.12146195769309998,0.9015986919403076,00:00
72,0.11742812395095825,0.9319100975990295,00:00
73,0.11373476684093475,0.9318549036979675,00:00
74,0.11008486896753311,0.9141333699226379,00:00
75,0.10656298696994781,0.9384186863899231,00:00
76,0.10349857807159424,0.9413521885871887,00:00
77,0.10029151290655136,0.9118414521217346,00:00
78,0.09739932417869568,0.9288711547851562,00:00
79,0.09453511983156204,0.954906165599823,00:00
80,0.09208511561155319,0.927333414554596,00:00
81,0.08963366597890854,0.9148969054222107,00:00
82,0.08705168962478638,0.924374520778656,00:00
83,0.08469068259000778,0.935253381729126,00:00
84,0.08249614387750626,0.9287700653076172,00:00
85,0.08030366152524948,0.9152956604957581,00:00
86,0.07822936773300171,0.914799690246582,00:00
87,0.07634545117616653,0.9180462956428528,00:00
88,0.07445377111434937,0.9232984185218811,00:00
89,0.07276244461536407,0.9260385036468506,00:00
90,0.07110894471406937,0.9270846247673035,00:00
91,0.06958618760108948,0.9224180579185486,00:00
92,0.06806173920631409,0.9183550477027893,00:00
93,0.06672807037830353,0.914705216884613,00:00
94,0.06549450010061264,0.9159603118896484,00:00
95,0.06428518891334534,0.9158816337585449,00:00
96,0.06311231106519699,0.9176098704338074,00:00
97,0.06201481819152832,0.917220413684845,00:00
98,0.06093073636293411,0.9173633456230164,00:00
99,0.0600554496049881,0.9174134731292725,00:00
